"HolderAddress","Balance","PendingBalanceUpdate"
"0x03b37f9396ad6b546be7e9433354ee9acaa78ed0","82000","No"
"0x03b826183f08ddf908f927e3e6c837a8c02ceda0","49000","No"
"0x03b9097ca2acd013464a74ce61dcd7584365daf2","1000","No"
"0x03bf52197a34e9e036353da1c974c316dcb2faba","1000","No"
"0x03bf62a2d0f8dac5e420fb9c49612bc17b2888ee","2000","No"
"0x03bfbb8fc06df2b7c893926c190d7081094c6272","16000","No"
"0x03c5c3edc1916427207bd55c4c0b3a463c9a32e3","1000","No"
"0x03c71ab47ad0263f57f274e1094a50b74c10f934","1000","No"
"0x03c729ee70a63ba50aac96dfcc20fca0813d0913","1000","No"
"0x03c8cbcd3e31541434b644f8bd79b5075cb4c29a","16000","No"
"0x03c99469042d7bc74b887f5a57d0d7b0857e0bcf","54442.1962241816","No"
"0x03ca8d57285836857dddf42cbb896448015246e7","2000","No"
"0x03d6edd0b7538c2d2b00fe424c6bccc9c6df2a0d","2000","No"
"0x03e15ffd06f930f6abb8b243ed7080880219568f","4000","No"
"0x03e1765cde7cf0da88a25d0f5c67a3d7e8a659dc","1000","No"
"0x03e188c3bae70ed42cf5b53c50fa9e94316e9ca3","1000","No"
"0x03e20b0a4d6a9bf14eb7076b79ea554bd16f0161","44000","No"
"0x03e5badf3bb1ade1a8f33f94536c827b6531948d","1000","No"
"0x03e8e613953bbc88c7c8cc103daa844edbf1f78d","15000","No"
"0x03edc058e1d348ae9ecc20cd488e880c4e367826","13000","No"
"0x03ef86b748c6a9dff661770cca42440746708c5a","2000","No"
"0x03f6e7a3d01a310d63f9f0826fc5e1416beffe76","296000","No"
"0x03ff023a7c21fdabb1b52588b2c0fcdfd71f0435","38000","No"
"0x04066c8af910ba5d5c1a8889fa794759a9809708","400000","No"
"0x040cb021d9bdf9d6060ce13439bc54c5757587f7","1000","No"
"0x040cde7cf6731ae5fe1bf1fc9507ae0bc32d225d","1000","No"
"0x040d4f1d4981b84f25b643d755b0f1ad134dc7a8","30000","No"
"0x040e25790d1ed4112ec4ed720a755d12ffb6924f","2000","No"
"0x0410a2737150552f4f7661a83af330712d2ce91b","78000","No"
"0x0448cb024711d99f1daed26a90408e58745ee66e","2000","No"
"0x044eac1a71485bc329b4a19d86cf05033f8e9ba9","293000","No"
"0x044fcc24ed3b20f6ecdfaa69f498decfa3d8fe9c","11000","No"
"0x045637598c54237f54e46a94da32ef744b812b07","2000","No"
"0x045b00a873902525158d9c5a0704738e87479996","39000","No"
"0x045c268de9ba5e73a49e496b10121f6afb4f49c2","21000","No"
"0x045fd117a5709bf8c8bc54d61ca391e1961e0d31","57000","No"
"0x0462a26e646352dea6df8edb16d8001f119ec89d","1000","No"
"0x047b7678422ce0d69723b3140261a0391c79463b","1000","No"
"0x0482790b80974b092d0d4de8f061cc4b8cce4328","66000","No"
"0x0488a32200ee0f2a6c28ecc4fdca3bd98661e4de","1000","No"
"0x048d7faead9a6f0f2698eec6de7d02b73669b4fd","21000","No"
"0x0490f49d577308a878ef4e02c6607912d800469f","16000","No"
"0x0493e88bc1dfb821a703cb57c504e52048e9ff43","2000","No"
"0x04941dd78c6f2b099d312a990e5102e9174f77f3","6000","No"
