"HolderAddress","Balance","PendingBalanceUpdate"
"0x0fcf6c16e9d3d6365c6948e039ae60156fa8d254","1000","No"
"0x0fecaf13480079b15fbefcf4608105486898dddc","70950","No"
"0x0fff97325b0d81a1edf4cb5ded0fbd0320b36e0e","12000","No"
"0x1019a90e583d6c519974f3b5932987183602a668","1000","No"
"0x101fb1be29083c9876e39749b7a6e844f198915b","10869.4815775828","No"
"0x10489e03ac4748abcf3623117fa84a72a557c437","77255.8737093049","No"
"0x104e4a76960b4bf24492a47239efc891a23b2374","2000","No"
"0x10889aaaa9e843026deb023abfd8721ff7a5dedc","26000","No"
"0x1093a7394afb514646bb4866a414df304c39945e","1000","No"
"0x109cbc4e8b29f0fa71a4871a72d84de5bbc7bacc","23000","No"
"0x10a5409f54bb0906c3d82a7a57e0646d19220d1e","1335847.94995017","No"
"0x10aa28031124925bb2933864b3008ccff952aaf9","1000","No"
"0x10c0613d50cf8cd8886a9f248ce13d41b1d90faf","3000","No"
"0x10c12cf88d5c44cb1d2bac319bd671c175731c45","4000","No"
"0x10cc45ddd7717eecdbcc964ce2073d886381be10","30000","No"
"0x10ddde5fc3a89862eff8d2a70f52d53248da8949","32692.6844965098","No"
"0x10e54a424e6b441e26d0a92858120d69bec0a598","5000","No"
"0x10e563bd91c38e0927049f9a10756ccad6f74064","1000","No"
"0x1103c50c5fc808fc70df6f11511c20214ea2614a","13000","No"
"0x1104164e57a0c34baff5d5c8cafe50ff964b11e7","10000","No"
"0x110657b0e2467f276d6db200d192df3573909355","34999.9","No"
"0x110a635cc0cbc60529486ac2aa4628b837c4aff7","1000","No"
"0x1117e505ba336a3a1a97ca5921da2aab22b1ba95","37000","No"
"0x111ae4d8db445c46b4c342abbbb508519275d3c3","1000","No"
"0x111b0576ffc322548fd380e5c4cb0d6d4185a02b","5000","No"
"0x111f7d38e6817693bd79c768baf669c80a047ec2","1000","No"
"0x113941782d3eb0b80a6611a3b1ddfec16e82bd6e","14062.5","No"
"0x113eff7deebd1250b50f6706d29d4b57f5744157","50000","No"
"0x114299ae91e0eaa516ea4cb32618d21ff9f3b7e6","58270.34568424","No"
"0x114565a59dc4b60e532e9e1639f42e02d4fef615","14000","No"
"0x114c29602c856bdb76ba75ece441a454810fe267","12000","No"
"0x11519f0d7844bc6677281eade6057c7f57f8a7b3","2000","No"
"0x11543af73b9a1bac68c94f06b59c2156cf18e03a","2000","No"
"0x1154feaf7df621614b5430dc6ae5c48428f51e97","1000","No"
"0x115731fb0ca09d5d673ae6f8b448326cc9931317","100000.000000801","No"
"0x11590b8b4f62e52f5081f5c9c416cd3b01866988","13000","No"
"0x1174a86aef9f09a96876c4486dad05bee6729961","1000","No"
"0x118e80b5331afc26b232d33d1ba3e992cdf52598","1000","No"
